episode,total_model_time,num_steps,average_model_time_per_step,reward
0,5.499564170837402,1019,0.005397020776091661,-21.0
1,3.381344795227051,1000,0.003381344795227051,-21.0
2,3.3065860271453857,991,0.0033366155672506417,-21.0
3,3.37512469291687,1009,0.0033450195172615165,-21.0
4,3.3673882484436035,989,0.003404841504998588,-21.0
5,3.521409034729004,1025,0.003435521009491711,-21.0
6,3.286952018737793,995,0.003303469365565621,-21.0
7,3.4841158390045166,994,0.0035051467193204394,-21.0
8,3.3458163738250732,988,0.0033864538196610055,-21.0
9,3.439347505569458,1006,0.00341883449857799,-21.0
