episode,total_model_time,num_steps,average_model_time_per_step,reward
0,4.756619930267334,983,0.0048388809056636155,-21.0
1,3.4355356693267822,1018,0.003374789459063637,-21.0
2,3.3378262519836426,1005,0.003321220151227505,-21.0
3,3.3803789615631104,1006,0.0033602176556293342,-21.0
4,3.213366746902466,1002,0.003206952841220026,-21.0
5,3.3757238388061523,993,0.0033995204821814225,-21.0
6,3.38285493850708,1007,0.0033593395615760476,-21.0
7,3.317901611328125,1011,0.003281801791620302,-21.0
8,3.3260862827301025,1016,0.003273706971191046,-21.0
9,3.1578829288482666,963,0.003279213840963932,-21.0
