episode,total_model_time,num_steps,average_model_time_per_step,reward
0,5.270079851150513,1005,0.00524386054840847,-21.0
1,3.5084707736968994,1005,0.0034910156952207955,-21.0
2,3.441342353820801,1002,0.003434473407006787,-21.0
3,3.4083378314971924,994,0.00342891129929295,-21.0
4,3.4928572177886963,1010,0.003458274473058115,-21.0
5,3.5505995750427246,1009,0.003518929212133523,-21.0
6,3.3942346572875977,988,0.0034354601794408884,-21.0
7,3.4234447479248047,1013,0.003379511103578287,-21.0
8,3.546677589416504,1031,0.003440036459181866,-21.0
9,3.392207384109497,1012,0.0033519835811358666,-21.0
