episode,total_model_time,num_steps,average_model_time_per_step,reward
0,6.037971258163452,2379,0.0025380291123007367,-16.0
1,6.409120798110962,2579,0.002485118572357876,-14.0
2,6.661000490188599,2632,0.002530775262229711,-12.0
3,5.301663398742676,2102,0.002522199523664451,-19.0
4,5.754590034484863,2291,0.0025118245458249076,-16.0
5,5.45892333984375,2156,0.002531968153916396,-16.0
6,5.771345138549805,2267,0.0025458072953461865,-17.0
7,5.1066718101501465,2052,0.002488631486427947,-16.0
8,6.635523319244385,2657,0.0024973742262869346,-15.0
9,5.550041913986206,2279,0.0024352970223721834,-15.0
