episode,total_model_time,num_steps,average_model_time_per_step,reward
0,10.120315551757812,2343,0.004319383504804871,-14.0
1,8.437010049819946,2353,0.0035856396301827227,-13.0
2,8.267159938812256,2312,0.0035757612192094533,-17.0
3,8.36018443107605,2331,0.003586522707454333,-15.0
4,8.203192949295044,2278,0.003601050460621178,-15.0
5,10.525485277175903,2886,0.003647084295625746,-15.0
6,8.783512592315674,2455,0.003577805536584796,-15.0
7,9.15499758720398,2582,0.0035457000725034778,-13.0
8,8.75534462928772,2438,0.003591199601840738,-15.0
9,9.365691423416138,2612,0.003585639901767281,-13.0
