episode,total_model_time,num_steps,average_model_time_per_step,reward
0,10.742023229598999,2384,0.004505882227180788,-16.0
1,8.658458471298218,2312,0.0037450079893158383,-16.0
2,9.250393867492676,2512,0.003682481635148358,-14.0
3,9.688878536224365,2655,0.0036492951172219833,-11.0
4,9.324751377105713,2574,0.003622669532675102,-13.0
5,10.46230697631836,2815,0.003716627700290714,-12.0
6,9.122695446014404,2482,0.0036755420813917826,-14.0
7,6.489451885223389,1748,0.003712501078503083,-17.0
8,8.203750610351562,2204,0.003722209895803794,-17.0
9,8.144109964370728,2205,0.003693473906744094,-15.0
