episode,total_model_time,num_steps,average_model_time_per_step,reward
0,7.5557708740234375,2301,0.0032836900799754183,-13.0
1,7.16021728515625,2191,0.0032680133661142172,-15.0
2,7.833824157714844,2437,0.0032145359695177856,-14.0
3,7.739376068115234,2396,0.003230123567660782,-17.0
4,8.339031219482422,2543,0.003279210074511373,-15.0
5,6.393486261367798,1952,0.003275351568323667,-17.0
6,8.310432195663452,2540,0.0032718236990800995,-11.0
7,7.152301549911499,2237,0.0031972738265138574,-16.0
8,7.419873476028442,2253,0.003293330437651328,-16.0
9,9.380805015563965,2852,0.0032892023196227087,-12.0
