episode,total_model_time,num_steps,average_model_time_per_step,reward
0,11.363549947738647,2607,0.0043588607394471224,-15.0
1,8.273792743682861,2276,0.0036352340701594293,-16.0
2,9.03154993057251,2490,0.003627128486173699,-16.0
3,7.723374843597412,2124,0.0036362405101682733,-17.0
4,9.179819345474243,2539,0.003615525539769296,-13.0
5,9.098950386047363,2543,0.0035780379024960137,-14.0
6,8.823432922363281,2410,0.003661175486457793,-14.0
7,7.360889196395874,2044,0.003601217806455907,-16.0
8,8.709594964981079,2391,0.0036426578690845167,-15.0
9,11.009344100952148,3035,0.0036274609887815977,-12.0
