episode,total_model_time,num_steps,average_model_time_per_step,reward
0,10.838802814483643,2527,0.0042891977896650745,-15.0
1,8.975453615188599,2475,0.0036264459051267065,-16.0
2,9.84982705116272,2764,0.003563613260189117,-12.0
3,8.484748363494873,2397,0.003539736488733781,-14.0
4,8.691380739212036,2451,0.0035460549731587254,-14.0
5,8.853652715682983,2450,0.003613735802319585,-14.0
6,9.784518003463745,2752,0.0035554207861423492,-11.0
7,8.438714027404785,2448,0.0034471871026980332,-12.0
8,6.042371034622192,1699,0.0035564279191419614,-19.0
9,10.581709623336792,3021,0.0035027175184828836,-10.0
