episode,total_model_time,num_steps,average_model_time_per_step,reward
0,1.8849952220916748,1014,0.0018589696470332098,-21.0
1,1.902141809463501,996,0.0019097809331962861,-21.0
2,1.8513402938842773,1015,0.0018239805851076624,-21.0
3,1.9066085815429688,1030,0.0018510762927601639,-21.0
4,1.7754549980163574,988,0.0017970192287614954,-21.0
5,1.8282012939453125,996,0.001835543467816579,-21.0
6,1.8335227966308594,1001,0.001831691105525334,-21.0
7,1.8233802318572998,977,0.0018663052526686793,-21.0
8,1.8456647396087646,1000,0.0018456647396087648,-21.0
9,1.9141325950622559,1025,0.001867446434207079,-21.0
