episode,total_model_time,num_steps,average_model_time_per_step,reward
0,4.611858129501343,1000,0.004611858129501343,-21.0
1,2.8571245670318604,1008,0.0028344489752300203,-21.0
2,2.810800552368164,999,0.0028136141665346987,-21.0
3,3.0018246173858643,1019,0.0029458534027339196,-21.0
4,2.887295961380005,995,0.002901804986311563,-21.0
5,2.85251522064209,999,0.002855370591233323,-21.0
6,2.8028805255889893,1015,0.002761458645900482,-21.0
7,2.887937068939209,989,0.0029200577036796855,-21.0
8,2.8117685317993164,1006,0.0027949985405559805,-21.0
9,2.8888208866119385,990,0.0029180008955676144,-21.0
