episode,total_model_time,num_steps,average_model_time_per_step,reward
0,4.658754348754883,1008,0.004621780107891749,-21.0
1,2.867906332015991,997,0.0028765359398354976,-21.0
2,2.7667384147644043,999,0.0027695079226870913,-21.0
3,2.9605114459991455,996,0.0029724010501999453,-21.0
4,2.7923717498779297,998,0.0027979676852484267,-21.0
5,2.898508310317993,1011,0.0028669716224708143,-21.0
6,2.7664899826049805,980,0.0028229489618418167,-21.0
7,2.9099771976470947,1008,0.0028868821405229114,-21.0
8,2.792696714401245,990,0.00282090577212247,-21.0
9,2.7342021465301514,997,0.0027424294348346555,-21.0
