episode,total_model_time,num_steps,average_model_time_per_step,reward
0,7.71452260017395,2454,0.0031436522413096782,-16.0
1,8.856541633605957,2851,0.0031064684789919176,-15.0
2,8.86952805519104,2844,0.003118680750770408,-14.0
3,8.00014853477478,2577,0.003104442582372829,-12.0
4,8.124907970428467,2566,0.003166370993931593,-13.0
5,11.441879987716675,3631,0.00315116496494538,-11.0
6,10.363916158676147,3266,0.003173275002656506,-8.0
7,8.396113872528076,2655,0.003162378106413588,-12.0
8,8.165194749832153,2603,0.003136840088295103,-11.0
9,8.253558158874512,2614,0.0031574438251241437,-15.0
