episode,total_model_time,num_steps,average_model_time_per_step,reward
0,3.697329044342041,975,0.003792132353171324,-21.0
1,3.7442173957824707,994,0.0037668183056161677,-21.0
2,3.8062431812286377,1010,0.003768557605176869,-21.0
3,3.7892026901245117,1009,0.003755404053641736,-21.0
4,3.7864573001861572,1004,0.0037713718129344194,-21.0
5,3.7666311264038086,1005,0.003747891668063491,-21.0
6,3.6055848598480225,983,0.0036679398370783544,-21.0
7,3.8448166847229004,1017,0.0037805473792752215,-21.0
8,3.7607223987579346,1012,0.003716128852527603,-21.0
9,3.724048137664795,993,0.003750300239340176,-21.0
