episode,total_model_time,num_steps,average_model_time_per_step,reward
0,7.597522020339966,2701,0.002812855246330976,-12.0
1,9.573101282119751,3412,0.002805715498862764,-8.0
2,6.8005993366241455,2496,0.0027245990931987762,-15.0
3,8.82288646697998,3205,0.002752850691725423,-9.0
4,12.784918546676636,4602,0.0027781222396081346,-2.0
5,10.612371444702148,3859,0.0027500314705110516,-8.0
6,9.922870874404907,3600,0.00275635302066803,-9.0
7,8.326096534729004,2980,0.002793992125747988,-8.0
8,5.636844635009766,2007,0.0028085922446486125,-15.0
9,10.041036367416382,3599,0.002789951755325474,-4.0
