episode,total_model_time,num_steps,average_model_time_per_step,reward
0,8.53793716430664,2689,0.003175134683639509,-12.0
1,8.471843957901001,2675,0.003167044470243365,-11.0
2,8.004109859466553,2529,0.003164930747120029,-13.0
3,8.942808866500854,2869,0.003117047356744808,-10.0
4,8.508740663528442,2734,0.0031121948293812885,-14.0
5,9.970872163772583,3172,0.003143402321491987,-11.0
6,9.226764917373657,2980,0.0030962298380448512,-12.0
7,8.857074737548828,2863,0.0030936342080156577,-11.0
8,8.597023010253906,2737,0.0031410387322812956,-13.0
9,7.742303848266602,2482,0.0031193810831049965,-14.0
