episode,total_model_time,num_steps,average_model_time_per_step,reward
0,10.09497356414795,3300,0.0030590828982266513,-12.0
1,7.891172409057617,2575,0.0030645329743913077,-14.0
2,9.813218832015991,3215,0.0030523231203782243,-12.0
3,8.59223461151123,2807,0.0030610027116178234,-11.0
4,7.870810031890869,2574,0.0030578127552023577,-14.0
5,7.653788089752197,2538,0.0030156769463168627,-13.0
6,10.428839206695557,3417,0.0030520454219185125,-8.0
7,8.948691606521606,2928,0.0030562471333748656,-12.0
8,8.083689451217651,2640,0.003062003580006686,-12.0
9,6.813794374465942,2237,0.003045951888451472,-16.0
