episode,total_model_time,num_steps,average_model_time_per_step,reward
0,8.170779943466187,2303,0.0035478853423648224,-15.0
1,12.048963785171509,3460,0.003482359475483095,-8.0
2,8.062809944152832,2345,0.003438298483647263,-16.0
3,6.897738933563232,2026,0.003404609542726176,-17.0
4,8.04438304901123,2310,0.003482416904333866,-15.0
5,8.655449628829956,2493,0.0034719011748214827,-14.0
6,8.284103393554688,2466,0.0033593282212306115,-14.0
7,9.692992210388184,2774,0.0034942293476525536,-13.0
8,8.413329124450684,2465,0.003413115263468837,-14.0
9,8.453348159790039,2474,0.003416874761434939,-14.0
