episode,total_model_time,num_steps,average_model_time_per_step,reward
0,9.893201351165771,3530,0.002802606615061125,-5.0
1,8.193138837814331,2940,0.002786781917623922,-12.0
2,8.260802030563354,3026,0.0027299411865708374,-8.0
3,11.631233215332031,4280,0.00271757785404954,-3.0
4,7.247718334197998,2634,0.0027516014936211078,-12.0
5,8.93476390838623,3235,0.0027619053812631316,-10.0
6,8.678685903549194,3130,0.0027727431001754615,-9.0
7,11.640336513519287,4163,0.002796141367648159,-2.0
8,10.802007675170898,3880,0.0027840225966935307,-4.0
9,10.627264022827148,3834,0.002771847684618453,-7.0
