episode,total_model_time,num_steps,average_model_time_per_step,reward
0,3.8920938968658447,988,0.003939366292374337,-21.0
1,3.7179508209228516,987,0.003766920791208563,-21.0
2,3.764890670776367,1020,0.00369106928507487,-21.0
3,3.6623153686523438,985,0.0037180866686825826,-21.0
4,3.7388288974761963,1002,0.0037313661651459046,-21.0
5,3.770543098449707,987,0.0038202057735052756,-21.0
6,3.824038028717041,1008,0.00379368852055262,-21.0
7,3.869605541229248,1009,0.0038350897336266085,-21.0
8,4.028353929519653,1011,0.0039845241637187475,-21.0
9,3.8835790157318115,992,0.003914898201342552,-21.0
