episode,total_model_time,num_steps,average_model_time_per_step,reward
0,2.845578193664551,984,0.0028918477577891777,-21.0
1,2.835658073425293,999,0.002838496569995288,-21.0
2,2.8432273864746094,994,0.0028603897248235506,-21.0
3,2.782073736190796,980,0.002838850751215098,-21.0
4,2.79545521736145,997,0.0028038668178148947,-21.0
5,2.792935848236084,1001,0.0027901457025335504,-21.0
6,2.817369222640991,1007,0.0027977847295342514,-21.0
7,2.857548475265503,1019,0.0028042673947649686,-21.0
8,2.8505749702453613,1010,0.0028223514556884764,-21.0
9,2.7573671340942383,986,0.0027965183915763065,-21.0
