episode,total_model_time,num_steps,average_model_time_per_step,reward
0,9.752883911132812,2854,0.003417268364096991,-14.0
1,8.57697606086731,2495,0.003437665755858641,-12.0
2,8.572636842727661,2489,0.003444209257825497,-16.0
3,9.374284744262695,2740,0.0034212718044754364,-16.0
4,7.829775333404541,2283,0.0034295993576016386,-16.0
5,9.6831955909729,2815,0.0034398563378234106,-15.0
6,8.830839395523071,2580,0.003422805967257004,-12.0
7,7.326170921325684,2142,0.003420247862430291,-15.0
8,8.956286668777466,2623,0.0034145202702163422,-8.0
9,6.086691617965698,1810,0.0033628130485998334,-19.0
