n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,45258.66,55.920762062072754
2,nan,nan,nan,nan,32773.1,25.812516927719116
3,nan,nan,nan,nan,28618.113,25.966553688049316
4,nan,nan,nan,nan,26535.478,25.8875789642334
5,-21.0,-21.0,-21.0,1009.7142857142857,25084.993,25.002541303634644
6,-21.0,-20.9375,-20.0,1044.8125,24220.877,25.528836011886597
7,-21.0,-20.9375,-20.0,1044.8125,23654.619,25.79177188873291
8,-21.0,-20.96551724137931,-20.0,1038.5172413793102,23230.997,25.832074880599976
9,-21.0,-20.96875,-20.0,1036.40625,22753.624,24.641023635864258
10,-21.0,-20.97142857142857,-20.0,1034.6571428571428,22414.146,24.990375518798828
11,-21.0,-20.953488372093023,-20.0,1044.0697674418604,19910.41,25.829814195632935
12,-21.0,-20.9375,-20.0,1058.125,19736.382,24.08106303215027
13,-21.0,-20.94,-20.0,1057.98,19702.732,25.532102823257446
14,-21.0,-20.94736842105263,-20.0,1060.0526315789473,19697.091,25.833911180496216
15,-21.0,-20.88888888888889,-19.0,1081.6349206349207,19801.149,25.91482901573181
16,-21.0,-20.863636363636363,-19.0,1090.2424242424242,19831.36,25.89615535736084
17,-21.0,-20.797101449275363,-18.0,1105.0869565217392,19828.68,25.798667669296265
18,-21.0,-20.753246753246753,-18.0,1123.1038961038962,19827.394,25.80318331718445
19,-21.0,-20.725,-18.0,1135.3625,19748.187,23.700050354003906
20,-21.0,-20.728395061728396,-18.0,1133.8271604938273,19841.492,25.918822288513184
