n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,36576.897,46.058592081069946
2,nan,nan,nan,nan,23882.471,16.273961782455444
3,nan,nan,nan,nan,19623.754,16.16045594215393
4,-21.0,-20.75,-20.0,1047.0,17507.094,16.249467849731445
5,-21.0,-20.8,-20.0,1040.5,16225.046,16.091023921966553
6,-21.0,-20.625,-20.0,1057.3125,15371.726,16.205604076385498
7,-21.0,-20.666666666666668,-20.0,1057.4761904761904,14790.605,16.336196422576904
8,-21.0,-20.666666666666668,-20.0,1057.875,14332.1,16.201664447784424
9,-21.0,-20.71875,-20.0,1057.15625,13981.085,16.23065185546875
10,-21.0,-20.71875,-20.0,1057.15625,13692.761,16.11666488647461
11,-21.0,-20.7,-20.0,1059.325,11145.187,16.210591316223145
12,-21.0,-20.7,-20.0,1059.325,11133.713,16.012143850326538
13,-21.0,-20.645833333333332,-20.0,1065.9583333333333,11150.55,16.308669328689575
14,-21.0,-20.653846153846153,-20.0,1064.8461538461538,11141.605,16.08795976638794
15,-21.0,-20.625,-20.0,1068.9464285714287,11138.657,16.191903591156006
16,-21.0,-20.62295081967213,-20.0,1070.1967213114754,11133.637,16.107868671417236
17,-21.0,-20.609375,-20.0,1071.59375,11108.567,16.10489535331726
18,-21.0,-20.577464788732396,-20.0,1076.056338028169,11102.404,16.191256999969482
19,-21.0,-20.589041095890412,-20.0,1075.5205479452054,11107.037,16.290372133255005
20,-21.0,-20.575,-20.0,1076.55,11102.445,16.089231491088867
