n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-21.0,-20.5,-20.0,1212.5,14236.284,25.24282479286194
2,-21.0,-20.4,-20.0,1244.4,13744.26,24.442487955093384
3,-21.0,-20.555555555555557,-20.0,1195.4444444444443,13701.996,24.559679985046387
4,-21.0,-20.333333333333332,-19.0,1206.0833333333333,13771.078,24.892672538757324
5,-21.0,-20.5,-19.0,1175.75,13564.234,24.053393363952637
6,-21.0,-20.526315789473685,-19.0,1176.6315789473683,13429.875,23.71034836769104
7,-21.0,-20.5,-19.0,1187.2727272727273,13391.56,24.328373432159424
8,-21.0,-20.46153846153846,-19.0,1186.1538461538462,13483.493,25.084429264068604
9,-21.0,-20.413793103448278,-19.0,1191.896551724138,13430.312,24.07832407951355
10,-21.0,-20.375,-19.0,1199.84375,13470.292,24.86454749107361
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-21.0,-21.0,-21.0,1166.0,13399.485,24.761070013046265
2,-21.0,-21.0,-21.0,1138.6,12757.907,23.18251872062683
3,-21.0,-20.666666666666668,-19.0,1197.7777777777778,12105.369,22.07895803451538
