episode,total_model_time,num_steps,average_model_time_per_step,reward
0,1.0207695960998535,999,0.0010217913874873408,-21.0
1,1.029331922531128,1006,0.001023192765935515,-21.0
2,1.0291924476623535,1014,0.0010149826900023211,-21.0
3,1.005401611328125,1015,0.0009905434594365764,-21.0
4,0.9774682521820068,983,0.0009943725861464973,-21.0
5,1.041717767715454,1025,0.00101631001728337,-21.0
6,1.024369239807129,1014,0.0010102260747604822,-21.0
7,1.0277187824249268,1006,0.001021589246943267,-21.0
8,1.057558536529541,1032,0.001024766023768935,-21.0
9,1.0128061771392822,1008,0.001004768032876272,-21.0
