episode,total_model_time,steps,step_time_ms,reward
0,1.4761788845062256,1010,0.001461563251986362,-21.0
1,1.4620821475982666,998,0.001465012171942151,-21.0
2,1.478327751159668,1016,0.0014550469991729015,-21.0
3,1.4530353546142578,1003,0.0014486892867539957,-21.0
4,1.4460270404815674,998,0.0014489248902620916,-21.0
5,1.5060076713562012,1035,0.0014550798757064745,-21.0
6,1.4482293128967285,1002,0.0014453386356254776,-21.0
7,1.4450881481170654,979,0.0014760859531328554,-21.0
8,1.4305052757263184,985,0.001452289620026719,-21.0
9,1.4525883197784424,999,0.001454042362140583,-21.0
