episode,step_time_ms,steps,reward
0,0.5855103820569761,1008,-21.0
1,0.5733138727169458,1014,-21.0
2,0.5726303846809078,1005,-21.0
3,0.5720325483245745,1009,-21.0
4,0.5738086891920844,1015,-21.0
5,0.5721203032616549,987,-21.0
6,0.5731756432066089,1019,-21.0
7,0.5726282824762166,1001,-21.0
8,0.5743685833660501,996,-21.0
9,0.5713017107992481,1013,-21.0
10,0.5736870241898987,996,-21.0
11,0.5731063941585116,1019,-21.0
12,0.5714798445219015,1007,-21.0
13,0.5740032816951449,1002,-21.0
14,0.5745692811906338,1001,-21.0
15,0.5739566844216791,975,-21.0
16,0.5724317930326446,979,-21.0
17,0.5723195733268283,1003,-21.0
18,0.5729473417713529,1009,-21.0
19,0.5730477079529973,1021,-21.0
