episode,total_model_time,num_steps,average_model_time_per_step,reward
0,11.018661260604858,3952,0.0027881227886145895,-5.0
1,8.483619213104248,3094,0.0027419583752760985,-10.0
2,10.82397985458374,3932,0.002752792435041643,-5.0
3,8.511237144470215,3126,0.0027227246143538756,-10.0
4,11.272991180419922,4095,0.002752867199125744,3.0
5,10.30613899230957,3784,0.0027236096702720853,6.0
6,10.677519083023071,3930,0.002716925975323937,6.0
7,10.342238664627075,3763,0.0027484025151812584,-5.0
8,8.305976867675781,3053,0.002720595108966846,-8.0
9,11.667665243148804,4196,0.0027806637853071505,1.0
