episode,total_model_time,num_steps,average_model_time_per_step,reward
0,10.525826692581177,3397,0.0030985654084725277,-7.0
1,10.268404483795166,3365,0.0030515317931040613,-6.0
2,9.450432300567627,3100,0.003048526548570202,-7.0
3,10.555426597595215,3490,0.003024477535127569,-4.0
4,9.178072929382324,2997,0.003062420063190632,-7.0
5,10.308937072753906,3411,0.0030222624077261527,-5.0
6,10.446552991867065,3511,0.0029753782375013,-2.0
7,10.579875230789185,3468,0.003050713734368277,-2.0
8,11.032386779785156,3599,0.0030654033842137138,-2.0
9,11.498730897903442,3749,0.003067146145079606,-1.0
