episode,total_model_time,num_steps,average_model_time_per_step,reward
0,10.766264200210571,3376,0.0031890593010102403,-3.0
1,10.077105522155762,3202,0.003147128520348458,-6.0
2,11.424958944320679,3641,0.003137862934446767,-1.0
3,9.633691787719727,3071,0.0031369885339367393,-7.0
4,11.358262300491333,3626,0.003132449614035117,-2.0
5,9.765539169311523,3105,0.0031451011817428417,-5.0
6,9.94201946258545,3152,0.003154193991937008,-6.0
7,9.801991939544678,3123,0.0031386461541929806,-8.0
8,10.144097328186035,3200,0.003170030415058136,-5.0
9,9.297332048416138,2968,0.003132524275072823,-6.0
