episode,total_model_time,num_steps,average_model_time_per_step,reward
0,10.734125852584839,3807,0.0028195760054071026,-5.0
1,10.061338663101196,3573,0.0028159358139102143,-8.0
2,12.269556999206543,4422,0.0027746623697889063,2.0
3,11.190447807312012,4041,0.0027692273712724602,1.0
4,11.712779998779297,4210,0.0027821330163371252,2.0
5,9.029606103897095,3240,0.00278691546416577,-8.0
6,11.393889427185059,4103,0.0027769654952924834,3.0
7,11.27371096611023,4112,0.0027416612271668845,-1.0
8,10.216369867324829,3639,0.0028074663004465043,-6.0
9,11.871694564819336,4247,0.0027953130597643833,-2.0
