episode,total_model_time,num_steps,average_model_time_per_step,reward
0,8.750067234039307,3177,0.0027541917639406065,-10.0
1,10.192549467086792,3693,0.002759964653963388,-5.0
2,11.781490325927734,4302,0.0027386077001226718,-1.0
3,11.859580039978027,4334,0.002736405177659905,4.0
4,9.69314694404602,3561,0.0027220294703864142,-7.0
5,7.590818881988525,2822,0.0026898720347230775,-10.0
6,9.456488370895386,3513,0.002691855499827892,-5.0
7,10.616677284240723,3907,0.0027173476540160537,-1.0
8,12.092463254928589,4462,0.0027100993399660667,1.0
9,7.4424498081207275,2706,0.002750351000783713,-12.0
