episode,total_model_time,num_steps,average_model_time_per_step,reward
0,13.02354383468628,3726,0.0034953150388315297,5.0
1,13.476301431655884,3895,0.0034598976717986865,1.0
2,11.107641220092773,3240,0.0034282843271891275,-7.0
3,12.938454866409302,3670,0.0035254645412559405,-7.0
4,11.457627534866333,3351,0.0034191666770714215,-5.0
5,13.255640506744385,3838,0.0034537885635081774,-1.0
6,12.669229507446289,3722,0.003403876815541722,-6.0
7,10.75337266921997,3109,0.0034587882499903413,-7.0
8,13.458568334579468,3894,0.003456232237950557,-3.0
9,11.714585542678833,3430,0.0034153310620054908,5.0
