n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,40031.764,47.478272438049316
2,nan,nan,nan,nan,26063.379,17.105184078216553
3,nan,nan,nan,nan,21407.015,17.22484588623047
4,nan,nan,nan,nan,19090.699,16.181275129318237
5,-21.0,-21.0,-21.0,1016.875,17747.571,16.62905263900757
6,-21.0,-21.0,-21.0,1017.9375,16863.107,16.49754309654236
7,-21.0,-21.0,-21.0,1017.9375,16242.142,16.54431962966919
8,-21.0,-21.0,-21.0,1017.5625,15762.648,16.545963525772095
9,-21.0,-21.0,-21.0,1017.5625,15392.371,16.76028299331665
10,-21.0,-21.0,-21.0,1017.1578947368421,15083.898,16.331921100616455
11,-21.0,-21.0,-21.0,1018.5208333333334,12324.036,16.42151689529419
12,-21.0,-21.0,-21.0,1018.5208333333334,12342.426,16.291313409805298
13,-21.0,-21.0,-21.0,1018.09375,12345.11,16.19878625869751
14,-21.0,-21.0,-21.0,1018.09375,12347.779,16.29899573326111
15,-21.0,-21.0,-21.0,1017.9710144927536,12323.845,16.156001806259155
16,-21.0,-21.0,-21.0,1018.3125,12289.425,16.10083770751953
17,-21.0,-21.0,-21.0,1018.3125,12248.188,16.117302656173706
18,-21.0,-21.0,-21.0,1018.46875,12231.317,16.321244478225708
19,-21.0,-21.0,-21.0,1018.46875,12194.581,16.15920925140381
20,-21.0,-21.0,-21.0,1018.32,12182.947,16.16896963119507
