n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,27363.471,33.699443101882935
2,nan,nan,nan,nan,18160.046,12.986786603927612
3,nan,nan,nan,nan,15097.097,12.906744241714478
4,-21.0,-21.0,-21.0,1019.75,13571.141,13.054362297058105
5,-21.0,-21.0,-21.0,1020.7142857142857,12660.608,13.004524230957031
6,-21.0,-21.0,-21.0,1020.6875,12049.271,12.95129108428955
7,-21.0,-21.0,-21.0,1019.0833333333334,11609.301,12.931285858154297
8,-21.0,-21.0,-21.0,1019.0833333333334,11280.858,12.987892150878906
9,-21.0,-21.0,-21.0,1017.03125,11031.49,13.021397590637207
10,-21.0,-21.0,-21.0,1016.5882352941177,10827.924,13.007323503494263
11,-21.0,-21.0,-21.0,1016.975,8993.062,13.037110805511475
12,-21.0,-21.0,-21.0,1018.25,8996.196,12.989353656768799
13,-21.0,-21.0,-21.0,1018.25,9003.634,12.999823331832886
14,-21.0,-21.0,-21.0,1016.9107142857143,9006.714,12.99592137336731
15,-21.0,-21.0,-21.0,1016.6666666666666,9005.03,12.95972728729248
16,-21.0,-21.0,-21.0,1016.90625,9010.853,13.032627582550049
17,-21.0,-21.0,-21.0,1017.25,9012.173,12.953885793685913
18,-21.0,-21.0,-21.0,1017.25,9020.213,13.00560712814331
19,-21.0,-21.0,-21.0,1017.4625,9021.205,13.058441638946533
20,-21.0,-21.0,-21.0,1017.5,9034.2,13.148309230804443
