n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,71951.783,105.94537711143494
2,nan,nan,nan,nan,52223.447,58.346800804138184
3,nan,nan,nan,nan,45880.069,47.435630798339844
4,nan,nan,nan,nan,42687.369,42.184171199798584
5,nan,nan,nan,nan,40754.342,42.10661792755127
6,-21.0,-20.8,-20.0,1096.2,39376.159,40.964009523391724
7,-21.0,-20.5,-19.0,1187.6875,38283.146,40.107078552246094
8,-21.0,-20.5,-19.0,1173.4444444444443,37554.799,40.860079526901245
9,-21.0,-20.5,-19.0,1172.1666666666667,37056.219,41.50190305709839
10,-21.0,-20.448275862068964,-19.0,1181.6896551724137,36586.389,40.85899877548218
11,-21.0,-20.4375,-19.0,1180.96875,32648.519,41.26750349998474
12,-21.0,-20.45945945945946,-19.0,1173.8108108108108,32642.048,41.17120671272278
13,-21.0,-20.452380952380953,-19.0,1175.3095238095239,32634.241,41.711151123046875
14,-21.0,-20.291666666666668,-16.0,1211.2708333333333,32566.505,40.886436223983765
15,-21.0,-20.254901960784313,-16.0,1215.9019607843138,32347.338,39.28413367271423
16,-21.0,-20.196428571428573,-16.0,1235.9285714285713,32243.736,39.926037073135376
17,-21.0,-20.129032258064516,-16.0,1256.758064516129,32390.498,41.6065092086792
18,-21.0,-20.106060606060606,-16.0,1266.3939393939395,32406.197,41.42310881614685
19,-21.0,-20.071428571428573,-16.0,1271.8857142857144,32423.972,41.633224964141846
20,-21.0,-20.054054054054053,-16.0,1275.4864864864865,32410.4,40.64681577682495
